HealthyCount;InfectedCount;RecoveredCount;Time
1999;1;0;0
1998;2;0;0
1997;3;0;0
1996;4;0;0
1995;5;0;0
1994;6;0;0
1993;7;0;0
1992;8;0;0
1991;9;0;0
1990;10;0;0
1989;11;0;1,04
1988;12;0;1,04
1987;13;0;2,22
1986;14;0;3,56
1985;15;0;3,56
1984;16;0;3,62
1983;17;0;3,64
1982;18;0;3,7
1981;19;0;3,7
1980;20;0;4,06
1979;21;0;4,3
1978;22;0;4,68
1977;23;0;4,72
1976;24;0;4,76
1975;25;0;4,98
1974;26;0;5,02
1973;27;0;5,12
1972;28;0;5,6
1971;29;0;6
1970;30;0;6,08
1969;31;0;6,1
1968;32;0;6,12
1967;33;0;6,2
1966;34;0;6,22
1965;35;0;6,26
1964;36;0;6,52
1963;37;0;7,66
1962;38;0;7,84
1961;39;0;8,2
1960;40;0;8,48
1959;41;0;9
1958;42;0;9,08
1957;43;0;9,2
1956;44;0;9,46
1955;45;0;9,58
1954;46;0;9,64
1953;47;0;9,78
1952;48;0;9,84
1951;49;0;10,08
1950;50;0;10,26
1949;51;0;10,44
1948;52;0;10,68
1947;53;0;10,9
1946;54;0;11,36
1945;55;0;11,6
1944;56;0;11,74
1943;57;0;11,74
1942;58;0;11,76
1941;59;0;11,86
1940;60;0;11,88
1939;61;0;11,9
1938;62;0;12,12
1937;63;0;12,14
1936;64;0;12,26
1935;65;0;12,38
1934;66;0;12,42
1933;67;0;12,54
1932;68;0;12,64
1931;69;0;13,26
1930;70;0;13,26
1929;71;0;13,28
1928;72;0;13,5
1927;73;0;13,54
1926;74;0;13,54
1925;75;0;13,64
1924;76;0;13,9
1923;77;0;14,06
1922;78;0;14,56
1921;79;0;14,68
1920;80;0;14,72
1919;81;0;15,04
1918;82;0;15,18
1917;83;0;15,24
1916;84;0;15,38
1915;85;0;15,86
1914;86;0;16
1913;87;0;16,06
1912;88;0;16,3
1911;89;0;16,5
1910;90;0;16,7
1909;91;0;16,72
1908;92;0;16,94
1907;93;0;17,2
1906;94;0;17,22
1905;95;0;17,54
1904;96;0;17,54
1903;97;0;17,64
1902;98;0;17,8
1901;99;0;17,84
1900;100;0;18,02
1899;101;0;18,12
1898;102;0;18,18
1897;103;0;18,22
1896;104;0;18,26
1895;105;0;18,26
1894;106;0;18,6
1893;107;0;18,92
1892;108;0;19,02
1891;109;0;19,22
1890;110;0;19,24
1889;111;0;19,3
1888;112;0;19,96
1887;113;0;20,1
1886;114;0;20,16
1885;115;0;20,3
1884;116;0;20,42
1883;117;0;20,52
1882;118;0;20,54
1881;119;0;20,54
1880;120;0;20,64
1879;121;0;20,7
1878;122;0;20,88
1877;123;0;20,88
1876;124;0;21
1875;125;0;21,04
1874;126;0;21,12
1873;127;0;21,56
1872;128;0;21,68
1871;129;0;21,68
1870;130;0;21,82
1869;131;0;21,94
