Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,TotalScore,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2956355,-0.07843669,0.0,999.0,-5.801749795675278,-5.801749795675278,1.0
20000,3.295634,-0.07818708,0.0,999.0,-7.8276243805885315,-7.8276243805885315,1.0
30000,3.2883184,-0.14402126,0.0,999.0,-5.750249989330769,-5.750249989330769,1.0
40000,3.287415,-0.15835495,0.0,999.0,-8.211866398652395,-8.211866398652395,1.0
50000,3.2807376,-0.18404457,0.0,999.0,-4.596777664290534,-4.596777664290534,1.0
60000,3.2790565,-0.18848908,0.0,999.0,-5.4626244232058525,-5.4626244232058525,1.0
70000,3.27524,-0.19809574,0.0,999.0,-5.823624737560749,-5.823624737560749,1.0
80000,3.2739937,-0.18400538,0.0,999.0,-5.764332699775696,-5.764332699775696,1.0
90000,3.2671041,-0.22185263,0.0,999.0,-5.345332900683085,-5.345332900683085,1.0
100000,3.2642438,-0.20301333,0.0,999.0,-3.412749394774437,-3.412749394774437,1.0
110000,3.256224,-0.2101349,0.0,999.0,-4.16274993121624,-4.16274993121624,1.0
120000,3.246874,-0.20930456,0.0,999.0,-0.4443331003189087,-0.4443331003189087,1.0
130000,3.245038,-0.20176855,0.0,999.0,-5.248554878764683,-5.248554878764683,1.0
140000,3.2425532,-0.2020818,0.0,999.0,-2.9801243245601654,-2.9801243245601654,1.0
150000,3.236764,-0.20513405,0.0,999.0,-4.883249416947365,-4.883249416947365,1.0
160000,3.224111,-0.19629706,0.0,999.0,1.7693336645762126,1.7693336645762126,1.0
170000,3.2189991,-0.20192757,0.0,999.0,2.3695560495058694,2.3695560495058694,1.0
180000,3.204965,-0.15052149,0.0,999.0,-4.713374875485897,-4.713374875485897,1.0
190000,3.2053483,-0.15616745,0.0,999.0,-1.461374931037426,-1.461374931037426,1.0
200000,3.204139,-0.1630039,0.0,999.0,1.4610002994537354,1.4610002994537354,1.0
210000,3.199383,-0.16526087,0.0,999.0,-0.33477746778064305,-0.33477746778064305,1.0
220000,3.1991658,-0.12088164,0.0,999.0,0.738500326871872,0.738500326871872,1.0
230000,3.1985977,-0.118400514,0.0,999.0,-3.702624633908272,-3.702624633908272,1.0
240000,3.2016435,-0.11504312,0.0,999.0,-1.9511994004249573,-1.9511994004249573,1.0
250000,3.1977704,-0.11092888,0.0,999.0,0.9980004363589816,0.9980004363589816,1.0
260000,3.1816092,-0.11921515,0.0,999.0,-1.3286244943737984,-1.3286244943737984,1.0
270000,3.1796045,-0.123069994,0.0,999.0,-1.5716246515512466,-1.5716246515512466,1.0
280000,3.1679456,-0.11919427,0.0,999.0,1.096267000834147,1.096267000834147,1.0
290000,3.1635177,-0.11319466,0.0,999.0,-0.6423329247368706,-0.6423329247368706,1.0
300000,3.171698,-0.10354638,0.0,999.0,0.44037556648254395,0.44037556648254395,1.0
310000,3.1748126,-0.10089979,0.0,999.0,2.0128754004836082,2.0128754004836082,1.0
320000,3.1713202,-0.09376642,0.0,999.0,-1.853666321436564,-1.853666321436564,1.0
330000,3.174026,-0.08725802,0.0,999.0,-4.087554732958476,-4.087554732958476,1.0
340000,3.168286,-0.08710302,0.0,999.0,1.6232503950595856,1.6232503950595856,1.0
350000,3.152334,-0.08572816,0.0,999.0,2.3363753259181976,2.3363753259181976,1.0
360000,3.155875,-0.06659287,0.0,999.0,1.114466941356659,1.114466941356659,1.0
370000,3.1586812,-0.032896847,0.0,999.0,3.705222600036197,3.705222600036197,1.0
380000,3.157361,-0.027529616,0.0,999.0,-3.0088744685053825,-3.0088744685053825,1.0
390000,3.159669,-0.007685245,0.0,999.0,0.3995002880692482,0.3995002880692482,1.0
400000,3.1596224,-0.004110237,0.0,999.0,-0.29413299163182577,-0.29413299163182577,1.0
410000,3.1520393,-0.00148813,0.0,999.0,3.770889401435852,3.770889401435852,1.0
420000,3.1529424,-0.0014911616,0.0,999.0,-0.1869998574256897,-0.1869998574256897,1.0
430000,3.1601999,0.04432748,0.0,999.0,2.1907502487301826,2.1907502487301826,1.0
440000,3.1594107,0.04517027,0.0,999.0,0.2780004700024923,0.2780004700024923,1.0
450000,3.1476543,0.0011772101,0.0,999.0,0.8076668183008829,0.8076668183008829,1.0
460000,3.1485372,-0.0040362165,0.0,999.0,0.19650061428546906,0.19650061428546906,1.0
470000,3.1434505,0.006263164,0.0,999.0,0.33450014889240265,0.33450014889240265,1.0
480000,3.1412382,0.0058998894,0.0,999.0,-0.5905998905499776,-0.5905998905499776,1.0
490000,3.13542,0.0023120749,0.0,999.0,1.1003339687983196,1.1003339687983196,1.0
500000,3.1293645,-0.0019796225,0.0,999.0,3.218625418841839,3.218625418841839,1.0
510000,3.1442611,0.027870348,0.0,999.0,2.0723752602934837,2.0723752602934837,1.0
520000,3.1498768,0.049225792,0.0,999.0,1.5248003522555034,1.5248003522555034,1.0
530000,3.1507668,0.077722035,0.0,999.0,2.5045560002326965,2.5045560002326965,1.0
540000,3.151495,0.116169706,0.0,999.0,0.5895004719495773,0.5895004719495773,1.0
550000,3.1478994,0.11627485,0.0,999.0,0.14162519574165344,0.14162519574165344,1.0
560000,3.1443808,0.119469196,0.0,999.0,-0.6215994556744894,-0.6215994556744894,1.0
570000,3.1378744,0.10263928,0.0,999.0,0.9798894921938578,0.9798894921938578,1.0
580000,3.1363916,0.070744514,0.0,999.0,-1.9834992289543152,-1.9834992289543152,1.0
590000,3.1340868,0.07181961,0.0,999.0,1.6372503340244293,1.6372503340244293,1.0
600000,3.1126602,0.04851447,0.0,999.0,0.8066670854886373,0.8066670854886373,1.0
610000,3.1058443,0.05522933,0.0,999.0,3.783555891778734,3.783555891778734,1.0
620000,3.0996852,0.09567213,0.0,999.0,3.395625151693821,3.395625151693821,1.0
630000,3.0998151,0.092233285,0.0,999.0,1.8090002089738846,1.8090002089738846,1.0
640000,3.077327,0.10841014,0.0,999.0,0.2192669947942098,0.2192669947942098,1.0
650000,3.0806596,0.1164505,0.0,999.0,4.999000310897827,4.999000310897827,1.0
660000,3.0727077,0.1366022,0.0,999.0,2.1472505778074265,2.1472505778074265,1.0
670000,3.0786858,0.13933334,0.0,999.0,2.183125264942646,2.183125264942646,1.0
680000,3.080135,0.12961324,0.0,999.0,1.7286669770876566,1.7286669770876566,1.0
690000,3.084367,0.12684521,0.0,999.0,2.097666919231415,2.097666919231415,1.0
700000,3.0958138,0.13833041,0.0,999.0,0.48212528228759766,0.48212528228759766,1.0
710000,3.1015954,0.14441003,0.0,999.0,2.0786250457167625,2.0786250457167625,1.0
720000,3.0910313,0.1420024,0.0,999.0,1.139000384012858,1.139000384012858,1.0
730000,3.08278,0.14902559,0.0,999.0,3.341000345018175,3.341000345018175,1.0
740000,3.0960355,0.16189209,0.0,999.0,4.999000310897827,4.999000310897827,1.0
750000,3.109871,0.185665,0.0,999.0,4.999000310897827,4.999000310897827,1.0
760000,3.1063044,0.19465695,0.0,999.0,1.2095335880915323,1.2095335880915323,1.0
770000,3.0929575,0.20956326,0.0,999.0,0.5033336877822876,0.5033336877822876,1.0
780000,3.0898018,0.20712009,0.0,999.0,2.026000142097473,2.026000142097473,1.0
790000,3.0945039,0.20543507,0.0,999.0,3.4395002499222755,3.4395002499222755,1.0
800000,3.0936444,0.21052855,0.0,999.0,1.0278003017107646,1.0278003017107646,1.0
810000,3.0883617,0.23408647,0.0,999.0,-0.7817773421605428,-0.7817773421605428,1.0
820000,3.0861409,0.23581299,0.0,999.0,1.7546251937747002,1.7546251937747002,1.0
830000,3.094052,0.2379886,0.0,999.0,2.0038755759596825,2.0038755759596825,1.0
840000,3.0944529,0.23648342,0.0,999.0,2.015267014503479,2.015267014503479,1.0
850000,3.0722964,0.23022595,0.0,999.0,0.11011140214072333,0.11011140214072333,1.0
860000,3.0750065,0.23009197,0.0,999.0,0.2888755351305008,0.2888755351305008,1.0
870000,3.073208,0.24327987,0.0,999.0,2.0935003012418747,2.0935003012418747,1.0
880000,3.0763292,0.24409668,0.0,999.0,3.567466926574707,3.567466926574707,1.0
890000,3.0661469,0.24416347,0.0,999.0,0.6514446801609464,0.6514446801609464,1.0
900000,3.064726,0.24278112,0.0,999.0,0.02387530356645584,0.02387530356645584,1.0
910000,3.055418,0.23697366,0.0,999.0,0.123750239610672,0.123750239610672,1.0
920000,3.0567653,0.23111777,0.0,999.0,3.3015336712201435,3.3015336712201435,1.0
930000,3.0436656,0.23770973,0.0,999.0,-0.5174443589316474,-0.5174443589316474,1.0
940000,3.0485399,0.24159603,0.0,999.0,4.999000310897827,4.999000310897827,1.0
950000,3.055948,0.23696935,0.0,999.0,0.17525020241737366,0.17525020241737366,1.0
960000,3.0607886,0.23261005,0.0,999.0,-0.5867328683535258,-0.5867328683535258,1.0
970000,3.0620985,0.22777419,0.0,999.0,3.8030003574159412,3.8030003574159412,1.0
980000,3.0613263,0.22114351,0.0,999.0,-0.6939996778964996,-0.6939996778964996,1.0
990000,3.0654068,0.21838476,0.0,999.0,0.6946252658963203,0.6946252658963203,1.0
1000000,3.059164,0.2039874,0.0,999.0,-0.7550663510958354,-0.7550663510958354,1.0
1010000,3.0572054,0.19302826,0.0,999.0,-0.4127771854400635,-0.4127771854400635,1.0
1020000,3.0490355,0.16571626,0.0,999.0,2.0650003403425217,2.0650003403425217,1.0
1030000,3.0481765,0.16513671,0.0,999.0,-3.077374793589115,-3.077374793589115,1.0
1040000,3.0420532,0.17032695,0.0,999.0,1.883267104625702,1.883267104625702,1.0
1050000,3.043672,0.17119436,0.0,999.0,1.4094445837868586,1.4094445837868586,1.0
1060000,3.0375361,0.17201322,0.0,999.0,0.2585003301501274,0.2585003301501274,1.0
1070000,3.0341976,0.17604661,0.0,999.0,-1.2152495458722115,-1.2152495458722115,1.0
1080000,3.0401328,0.15047334,0.0,999.0,2.3892003695170083,2.3892003695170083,1.0
